fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Id
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,0
8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,5,1
10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,6,0
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,1
9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,6,0
8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,6,1
7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,5,0
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6,0
7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,5,0
7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,5,0
8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5,1
8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5,1
8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,7,1
8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,5,1
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,1
7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,6,1
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5,1
7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,5,0
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5,1
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,0
6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,5,1
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,0
